iter	Passed	Remaining
0	51	25895
1	57	14253
2	62	10421
3	68	8509
4	75	7477
5	81	6736
6	86	6094
7	93	5724
8	97	5326
9	102	5039
10	108	4823
11	113	4626
12	119	4471
13	127	4417
14	133	4322
15	143	4342
16	149	4237
17	159	4260
18	166	4203
19	173	4171
20	181	4138
21	188	4103
22	197	4087
23	202	4024
24	210	4008
25	216	3952
26	224	3934
27	230	3887
28	237	3855
29	244	3826
30	249	3767
31	255	3734
32	261	3705
33	266	3656
34	273	3639
35	278	3595
36	283	3553
37	292	3550
38	296	3509
39	303	3493
40	310	3477
41	315	3444
42	323	3443
43	328	3402
44	333	3372
45	341	3369
46	345	3332
47	352	3316
48	359	3306
49	364	3280
50	372	3276
51	377	3248
52	381	3221
53	390	3225
54	395	3201
55	402	3193
56	409	3180
57	414	3159
58	421	3148
59	425	3123
60	430	3098
61	438	3095
62	442	3070
63	448	3055
64	455	3046
65	459	3023
66	466	3012
67	473	3005
68	477	2980
69	484	2975
70	490	2962
71	494	2941
72	502	2936
73	507	2922
74	513	2911
75	520	2905
76	525	2888
77	532	2883
78	540	2879
79	546	2871
80	553	2862
81	558	2846
82	565	2839
83	571	2831
84	576	2817
85	584	2813
86	590	2805
87	598	2802
88	604	2791
89	609	2777
90	617	2775
91	623	2765
92	631	2762
93	637	2751
94	641	2735
95	648	2731
96	654	2720
97	660	2711
98	668	2706
99	673	2693
100	681	2691
101	686	2677
102	691	2664
103	698	2660
104	703	2645
105	709	2635
106	716	2631
107	721	2618
108	728	2613
109	734	2603
110	739	2592
111	747	2588
112	752	2575
113	758	2569
114	765	2562
115	770	2550
116	776	2541
117	782	2534
118	787	2522
119	795	2519
120	800	2506
121	807	2500
122	814	2496
123	820	2486
124	828	2484
125	832	2471
126	839	2466
127	846	2460
128	851	2449
129	858	2443
130	865	2436
131	870	2426
132	878	2424
133	883	2413
134	890	2407
135	896	2399
136	901	2389
137	909	2387
138	915	2377
139	921	2370
140	928	2364
141	933	2352
142	940	2348
143	946	2339
144	951	2328
145	959	2325
146	965	2317
147	972	2312
148	980	2308
149	988	2306
150	996	2302
151	1004	2299
152	1011	2294
153	1018	2287
154	1026	2285
155	1032	2275
156	1041	2275
157	1047	2267
158	1057	2267
159	1064	2262
160	1075	2263
161	1079	2253
162	1086	2246
163	1093	2240
164	1100	2235
165	1110	2233
166	1118	2230
167	1127	2227
168	1135	2223
169	1141	2216
170	1147	2208
171	1157	2207
172	1163	2198
173	1168	2189
174	1175	2183
175	1183	2179
176	1189	2171
177	1193	2159
178	1201	2154
179	1206	2145
180	1210	2133
181	1220	2131
182	1226	2124
183	1235	2121
184	1243	2117
185	1251	2113
186	1260	2110
187	1270	2107
188	1278	2103
189	1288	2101
190	1298	2100
191	1307	2097
192	1318	2097
193	1332	2101
194	1345	2103
195	1360	2109
196	1372	2111
197	1381	2107
198	1389	2102
199	1404	2106
200	1410	2098
201	1419	2094
202	1425	2085
203	1434	2081
204	1439	2071
205	1446	2064
206	1453	2057
207	1459	2048
208	1468	2044
209	1476	2038
210	1487	2037
211	1500	2037
212	1506	2029
213	1515	2025
214	1524	2021
215	1537	2021
216	1549	2021
217	1558	2015
218	1572	2017
219	1586	2018
220	1595	2013
221	1602	2007
222	1609	1999
223	1617	1992
224	1620	1981
225	1625	1970
226	1633	1964
227	1639	1955
228	1652	1955
229	1663	1952
230	1668	1943
231	1677	1937
232	1682	1928
233	1689	1920
234	1697	1913
235	1702	1904
236	1710	1898
237	1717	1890
238	1724	1883
239	1732	1876
240	1739	1869
241	1747	1863
242	1753	1854
243	1763	1850
244	1769	1841
245	1778	1835
246	1784	1827
247	1792	1821
248	1798	1813
249	1806	1806
250	1814	1799
251	1820	1791
252	1828	1784
253	1833	1776
254	1840	1768
255	1844	1757
256	1847	1746
257	1850	1735
258	1853	1724
259	1860	1716
260	1865	1707
261	1871	1700
262	1876	1691
263	1881	1681
264	1887	1673
265	1894	1666
266	1900	1658
267	1909	1652
268	1914	1643
269	1922	1637
270	1927	1629
271	1932	1620
272	1940	1613
273	1944	1604
274	1949	1595
275	1957	1588
276	1962	1580
277	1967	1571
278	1974	1563
279	1978	1554
280	1985	1547
281	1992	1540
282	1998	1532
283	2005	1525
