iter	Passed	Remaining
284	2010	1516
285	2017	1509
286	2024	1502
287	2028	1493
288	2036	1486
289	2042	1479
290	2049	1471
291	2057	1465
292	2064	1458
293	2073	1452
294	2079	1445
295	2087	1439
296	2095	1432
297	2103	1425
298	2109	1418
299	2116	1410
300	2123	1403
301	2128	1395
302	2136	1389
303	2141	1380
304	2148	1373
305	2155	1366
306	2160	1358
307	2167	1351
308	2173	1343
309	2177	1334
310	2185	1328
311	2190	1319
312	2196	1312
313	2204	1306
314	2210	1298
315	2218	1291
316	2223	1283
317	2229	1276
318	2236	1268
319	2241	1260
320	2249	1254
321	2254	1246
322	2260	1238
323	2267	1231
324	2272	1223
325	2280	1217
326	2286	1209
327	2291	1201
328	2298	1194
329	2304	1187
330	2311	1180
331	2318	1173
332	2323	1165
333	2331	1158
334	2335	1150
335	2341	1142
336	2348	1135
337	2353	1127
338	2359	1120
339	2367	1113
340	2371	1105
341	2377	1098
342	2383	1091
343	2388	1083
344	2396	1076
345	2402	1069
346	2407	1061
347	2415	1055
348	2420	1047
349	2428	1040
350	2434	1033
351	2439	1025
352	2447	1019
353	2452	1011
354	2458	1004
355	2464	997
356	2470	989
357	2477	982
358	2482	974
359	2486	967
360	2494	960
361	2500	953
362	2507	946
363	2513	939
364	2518	931
365	2525	924
366	2530	917
367	2535	909
368	2544	903
369	2549	895
370	2555	888
371	2562	881
372	2567	874
373	2575	867
374	2580	860
375	2585	852
376	2593	846
377	2598	838
378	2605	831
379	2611	824
380	2616	817
381	2623	810
382	2629	803
383	2634	795
384	2642	789
385	2647	781
386	2654	774
387	2660	767
388	2664	760
389	2672	753
390	2678	746
391	2683	739
392	2690	732
393	2695	725
394	2701	717
395	2708	711
396	2713	703
397	2719	696
398	2725	690
399	2731	682
400	2738	676
401	2743	668
402	2748	661
403	2756	655
404	2761	647
405	2768	640
406	2774	633
407	2779	626
408	2785	619
409	2791	612
410	2797	605
411	2805	599
412	2810	591
413	2817	585
414	2823	578
415	2828	571
416	2835	564
417	2841	557
418	2845	550
419	2853	543
420	2858	536
421	2865	529
422	2872	522
423	2877	515
424	2885	509
425	2891	502
426	2897	495
427	2905	488
428	2910	481
429	2917	474
430	2922	467
431	2927	460
432	2934	454
433	2939	447
434	2944	440
435	2952	433
436	2957	426
437	2963	419
438	2969	412
439	2974	405
440	2981	398
441	2988	392
442	2995	385
443	3002	378
444	3007	371
445	3013	364
446	3020	358
447	3025	351
448	3033	344
449	3037	337
450	3043	330
451	3050	323
452	3055	317
453	3062	310
454	3068	303
455	3073	296
456	3082	290
457	3087	283
458	3094	276
459	3100	269
460	3105	262
461	3111	255
462	3117	249
463	3122	242
464	3130	235
465	3135	228
466	3140	221
467	3147	215
468	3152	208
469	3158	201
470	3165	194
471	3170	188
472	3177	181
473	3183	174
474	3189	167
475	3196	161
476	3200	154
477	3205	147
478	3212	140
479	3217	134
480	3222	127
481	3229	120
482	3233	113
483	3238	107
484	3245	100
485	3250	93
486	3257	86
487	3263	80
488	3268	73
489	3275	66
490	3281	60
491	3287	53
492	3294	46
493	3300	40
494	3306	33
495	3312	26
496	3317	20
497	3324	13
498	3329	6
499	3334	0
